Player,Position,Seasons_plyd,Still_in_league,Tms_played_for,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,G,GS,MP,PER,FG,FGA,FG_pct,three_pt,three_pt_att,three_pt_pct,two_pt,two_pt_att,two_pt_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Kemba Walker,PG,6,1,2,21,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,443,398,15008,18.37,2845,6915,0.406,792,2257,0.339,2053,4658,0.437,1655,2001,0.824,265,1443,1708,2381,606,175,927,8137
Kendall Marshall,PG,4,0,4,21,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,160,57,3083,9.88,315,789,0.399,128,346,0.358,187,443,0.434,44,72,0.67,23,230,253,779,107,10,285,802
Kenneth Faried,PF,6,1,1,22,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,409,365,10539,19.98,1958,3596,0.549,2,19,0.104,1956,3577,0.552,940,1440,0.654,1299,2181,3480,432,322,356,569,4858
Kentavious Caldwell-Pope,SG,4,1,1,20,8,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,8.5,9,314,274,9488,11.45,1345,3320,0.404,479,1435,0.331,866,1885,0.457,496,632,0.777,209,732,941,495,367,59,313,3665
Kevin Jones,PF,1,0,1,23,0,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,32,0,334,11.1,43,107,0.402,0,0,0,43,107,0.402,9,15,0.6,38,40,78,10,9,5,8,95
Kevin Murphy,SG,1,0,1,22,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,17,0,52,-4.5,7,28,0.25,1,5,0.2,6,23,0.261,0,0,0,0,4,4,2,1,0,3,15
Khris Middleton,SG,5,1,2,21,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,296,224,9054,14.26,1501,3339,0.448,431,1068,0.392,1070,2271,0.475,637,729,0.866,167,965,1132,809,392,61,492,4070
Kim English,SG,1,0,1,24,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,41,0,407,7.9,42,112,0.375,14,50,0.28,28,62,0.452,21,29,0.724,8,29,37,26,16,3,19,119
Klay Thompson,SG,6,1,1,21,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,464,427,15182,16.45,3282,7243,0.452,1328,3171,0.418,1954,4072,0.478,962,1128,0.852,205,1349,1554,1045,422,251,810,8854
Kyle O'Quinn,C,5,1,2,22,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,321,50,4643,17.02,750,1494,0.501,19,86,0.125,731,1408,0.519,241,328,0.733,444,1017,1461,378,137,306,307,1760
Kyle Singler,SF,5,1,3,24,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,424,230,9478,8.29,1008,2440,0.399,393,1062,0.343,615,1378,0.435,374,473,0.76,349,861,1210,355,249,131,330,2783
Lamar Patterson,SG,2,1,1,24,48,76,77.25,83,101,32.5,133.5,27.5,128.5,226,10.8,9,9.25,40,0,435,1.6,31,95,0.275,13,55,0.206,18,40,0.369,18,25,0.697,5,52,57,45,10,2,27,93
Lance Stephenson,SG,7,1,7,20,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,445,202,10626,10.42,1533,3370,0.441,242,768,0.263,1291,2602,0.48,493,701,0.663,282,1478,1760,1273,294,60,739,3801
Larry Sanders,C,6,1,2,22,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,238,113,4635,13.12,669,1395,0.436,0,5,0,669,1390,0.437,182,329,0.604,475,870,1345,174,152,429,224,1520
Lazar Hayward,SF,3,0,2,24,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,72,0,591,8.37,70,202,0.3,21,78,0.19,49,124,0.371,46,60,0.79,25,65,90,35,17,8,28,207
Lorenzo Brown,PG,3,0,3,23,52,76,77.25,79,100,34,134,28,128,189,4,8.25,8.5,63,7,834,7.87,86,233,0.349,10,66,0.146,76,167,0.437,24,36,0.691,22,83,105,142,44,10,55,206
Luke Babbitt,SF,7,1,3,21,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,331,93,4617,9.27,559,1378,0.392,334,823,0.382,225,555,0.394,107,144,0.704,105,646,751,193,82,51,146,1559
Luke Harangody,PF,2,0,3,23,52,78.25,80,81.75,106,31,137,27,133,240,11.2,8.75,9.75,119,1,1511,10.05,181,477,0.377,37,153,0.233,144,324,0.438,47,64,0.721,100,239,339,66,36,37,36,446
Malcolm Lee,SG,3,0,2,21,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,36,12,534,-0.2,52,136,0.257,10,34,0.178,42,102,0.278,26,37,0.475,24,41,65,51,20,10,27,140
Malcolm Thomas,PF,4,0,6,23,0,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,60,0,449,8.73,42,95,0.337,2,15,0.063,40,80,0.372,20,35,0.383,37,96,133,20,8,12,37,106
Marcus Smart,PG,3,1,1,20,6,74,75.25,81.25,99,36,135,33,132,227,10.6,9,8.75,207,72,5874,11.43,628,1755,0.358,246,845,0.29,382,910,0.419,414,543,0.745,215,568,783,757,315,70,329,1916
Markel Brown,SG,1,1,1,19,44,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,4.2,8.25,9.75,82,75,1743,12.3,284,632,0.449,72,224,0.321,212,408,0.52,113,181,0.624,96,252,348,60,67,70,108,753
Marquis Teague,PG,3,0,6,23,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,199,49,3192,15.57,543,1225,0.433,88,255,0.364,455,970,0.445,246,330,0.742,122,290,412,257,114,39,235,1420
Marshon Brooks,SG,4,1,4,23,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,396,277,9398,17.92,1414,2554,0.561,0,22,0,1414,2532,0.565,842,1447,0.588,815,1845,2660,928,320,387,607,3670
Mason Plumlee,C,5,1,1,20,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,299,38,4963,11.3,658,1426,0.468,210,566,0.315,448,860,0.516,188,228,0.829,230,936,1166,246,49,103,215,1714
Meyers Leonard,C,4,1,4,22,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,301,252,9207,13.75,1518,3753,0.405,157,633,0.234,1361,3120,0.435,826,1188,0.705,301,1270,1571,1719,470,167,972,4019
Michael Carter-Williams,PG,1,1,1,24,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,9,0,32,-2.1,1,10,0.1,0,4,0,1,6,0.167,2,2,1,2,1,3,2,0,0,0,4
Michael Kidd-Gilchrist,SF,4,1,1,22,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,190,11,2519,14.2,360,713,0.495,67,174,0.284,293,539,0.532,116,142,0.86,183,345,528,161,62,97,115,903
Mike Muscala,PF,5,1,1,24,44,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,8.5,9,281,7,4322,13.32,765,1663,0.431,194,578,0.239,571,1085,0.497,264,336,0.802,209,627,836,257,88,32,189,1988
Mike Scott,PF,5,1,5,24,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,391,173,6245,11.97,791,1499,0.493,0,0,0,791,1499,0.493,205,365,0.584,604,1106,1710,171,189,301,316,1787
Miles Plumlee,C,1,0,1,22,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,28,0,262,4.8,26,75,0.347,5,21,0.238,21,54,0.389,17,25,0.68,13,26,39,11,7,3,19,74
Nick Johnson,SG,3,1,2,21,42,73.5,75,79.25,96.5,41.5,138,33.5,130,198,6.1,8.75,9.75,226,63,5124,8.57,569,1475,0.382,286,833,0.339,283,642,0.438,268,332,0.814,55,442,497,393,109,69,262,1692
Nik Stauskas,SG,6,1,2,21,8,77.25,78.5,79.75,102,35.5,137.5,29,131,207,12.1,8.5,8.5,399,338,11912,18.77,2592,5159,0.496,30,101,0.206,2562,5058,0.499,593,825,0.692,1134,2820,3954,812,325,358,674,5807
Nikola Vucevic,C,3,1,2,19,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,177,97,2698,10.87,277,624,0.432,23,79,0.325,254,545,0.449,116,171,0.692,250,528,778,65,61,62,125,693
Noah Vonleh,PF,2,0,1,23,9,80,81.5,88.25,108,37,145,31,139,247,7.3,9.75,11.75,84,4,829,7.45,109,294,0.37,19,73,0.252,90,221,0.41,40,56,0.714,24,59,83,97,25,4,71,277
Nolan Smith,PG,2,1,1,22,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,125,42,2093,13.65,324,735,0.437,92,262,0.364,232,473,0.475,169,212,0.802,42,237,279,129,80,24,102,909
Norris Cole,PG,3,0,5,23,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,155,2,1605,4.87,162,474,0.29,58,208,0.219,104,266,0.334,73,100,0.687,46,204,250,91,29,19,67,455
Orlando Johnson,SG,4,1,1,20,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,266,166,6632,12.35,962,2002,0.451,285,733,0.332,677,1269,0.504,260,336,0.747,306,878,1184,316,273,104,179,2469
Otto Porter,SF,2,0,3,22,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,177,106,3313,7.25,377,1085,0.346,189,645,0.284,188,440,0.429,131,164,0.795,72,368,440,97,85,35,104,1074
P.J. Hairston,SG,1,1,1,22,26,76.25,77.25,81,101,37,138,32,133,229,8.2,8.75,9.75,55,38,859,11.5,103,205,0.502,1,7,0.143,102,198,0.515,22,32,0.688,64,121,185,17,26,45,33,229
Patrick Patterson,PF,3,0,1,21,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,143,21,1675,8.27,195,464,0.417,36,123,0.198,159,341,0.462,62,94,0.661,46,206,252,54,36,33,60,488
Perry Jones,SF,1,0,1,23,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,24,0,224,5.7,18,57,0.316,7,25,0.28,11,32,0.344,11,15,0.733,2,12,14,34,9,1,18,54
Peyton Siva,SG,3,0,4,22,56,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,8,9.75,171,11,2298,10.32,202,583,0.367,52,207,0.208,150,376,0.424,88,144,0.582,39,208,247,508,134,19,194,544
Phil Pressey,PG,5,1,6,22,0,69.5,71.5,74.25,92,38.5,130.5,33,125,177,4.7,7.75,9.75,358,53,5315,11.43,585,1242,0.453,120,321,0.338,465,921,0.48,317,429,0.718,358,870,1228,198,143,143,206,1607
Quincy Acy,PF,3,0,4,20,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,79,16,1053,7.32,116,344,0.282,36,131,0.162,80,213,0.333,56,79,0.533,45,144,189,45,37,42,59,324
Quincy Miller,PF,1,1,3,23,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,28,0,376,11.33,66,132,0.492,22,52,0.427,44,80,0.549,4,10,0.356,2,12,14,52,8,0,26,158
Ray McCallum,PG,4,1,4,22,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,183,9,1967,7.05,188,487,0.341,102,291,0.302,86,196,0.4,38,49,0.732,40,246,286,84,57,14,47,516
Reggie Bullock,SF,2,1,1,22,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,108,18,1895,17.25,344,634,0.536,35,121,0.267,309,513,0.601,123,177,0.694,156,290,446,91,61,95,87,846
Ricky Ledo,SG,2,0,1,24,43,76.75,78,79.25,102.5,33.5,136,27,129.5,197,10.3,8.5,9.25,98,9,1397,9.65,146,349,0.419,48,140,0.337,98,209,0.46,39,45,0.883,66,200,266,50,32,11,28,379
Robbie Hummel,SF,4,1,2,23,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,211,165,6012,14.03,871,2214,0.402,478,1351,0.356,393,863,0.507,461,568,0.608,224,952,1176,304,331,140,403,2681
Robert Covington,SF,3,1,1,22,0,78.25,79.5,85.75,106,36,142,29.5,135.5,209,4.7,9,8.5,188,155,5198,12.93,835,2012,0.414,337,926,0.365,498,1086,0.456,323,395,0.802,63,523,586,392,141,39,235,2330
Rodney Hood,SG,1,1,1,23,23,79.25,80.5,80.5,103,36,139,29,132,208,7.5,8.5,8.5,52,13,857,7.5,82,217,0.378,23,86,0.267,59,131,0.45,28,43,0.651,12,86,98,107,34,8,56,215
Rudy Gobert,C,2,0,3,23,27,84.5,86,92.5,115,29,144,25,140,238,4.4,9.75,10,39,0,196,5.45,23,72,0.31,5,27,0.187,18,45,0.383,32,39,0.615,3,18,21,27,11,1,31,83
Russ Smith,PG,2,1,1,21,47,71.5,72.75,75.5,95,34,129,29.5,124.5,160,3.5,8.25,8.5,80,2,1425,11.9,203,429,0.237,60,187,0.161,143,242,0.296,38,68,0.28,94,191,285,76,39,21,41,504
Scott Machado,PG,1,0,1,24,0,73,74,76,94.5,32.5,127,27,121.5,206,5.8,8.5,9.5,2,0,7,-6.5,0,4,0,0,2,0,0,2,0,1,2,0.5,0,0,0,1,1,0,0,1
Scotty Hopson,SG,1,1,1,24,0,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,64,1,973,5.7,77,223,0.345,12,63,0.19,65,160,0.406,17,31,0.548,19,69,88,130,28,6,43,183
Semaj Christon,PG,4,1,1,21,55,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,5.3,8.5,8.25,235,14,4354,15.78,856,1800,0.474,116,360,0.323,740,1440,0.507,462,617,0.726,271,423,694,137,72,21,177,2290
Shabazz Muhammad,SG,3,1,3,23,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,159,12,2124,10.83,228,612,0.373,111,314,0.354,117,298,0.393,115,150,0.765,34,195,229,294,95,7,168,682
Shabazz Napier,PG,3,0,3,21,24,71,73,75.25,93,37.5,130.5,30.5,123.5,175,7.4,8.25,8.5,202,39,4105,10.83,461,1071,0.418,86,262,0.326,375,809,0.45,160,210,0.733,68,330,398,639,214,22,268,1168
Shane Larkin,PG,1,1,1,24,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,30,3,287,10.1,30,75,0.4,7,30,0.233,23,45,0.511,23,27,0.852,4,30,34,15,8,2,5,90
Shelvin Mack,PG,1,0,1,23,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,20,0,66,3.6,7,25,0.28,2,10,0.2,5,15,0.333,1,1,1,0,5,5,8,2,0,4,17
Sherron Collins,PG,2,0,1,22,0,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,26,0,181,8.1,16,51,0.281,0,0,0,16,51,0.281,7,10,0.438,22,39,61,5,4,11,8,39
Solomon Alabi,C,4,1,2,22,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,249,152,5847,9.5,544,1359,0.413,193,575,0.326,351,784,0.491,304,370,0.836,169,659,828,394,179,63,243,1585
Solomon Hill,SF,1,1,1,20,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,19,0,108,7.3,10,31,0.323,0,0,0,10,31,0.323,3,5,0.6,11,24,35,4,2,5,3,23
Steven Adams,C,2,1,1,23,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,162,68,3739,14.1,454,976,0.466,42,144,0.274,412,832,0.496,99,131,0.723,82,419,501,901,229,20,299,1049
T.J. Warren,SF,5,1,4,21,14,79,80.25,82.25,104,35.5,139.5,27,131,220,8,8.75,9,286,130,6827,14.54,1215,2454,0.417,112,386,0.249,1103,2068,0.451,471,762,0.55,460,1176,1636,295,186,324,266,3013
Terrence Jones,PF,5,1,3,21,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,465,180,11147,12.27,1735,4079,0.426,786,2115,0.366,949,1964,0.488,333,412,0.804,167,1054,1221,450,390,157,387,4589
Terrence Ross,SG,2,1,1,21,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,113,0,1574,7.9,180,517,0.321,63,206,0.27,117,311,0.348,59,76,0.787,64,226,290,168,51,12,66,482
Thanasis Antetokounmpo,SF,5,1,7,21,51,77.25,78.25,84,104.5,39.5,144,31.5,136,205,6.1,9,9.75,437,16,6058,13.89,904,1942,0.471,0,9,0,904,1933,0.473,361,706,0.506,759,1366,2125,269,234,157,466,2169
Thomas Robinson,PF,1,1,1,19,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,57,34,562,14,83,181,0.459,28,74,0.378,55,107,0.514,32,49,0.653,40,74,114,23,10,26,17,226
Tobias Harris,SF,1,0,2,21,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,24,0,89,24.5,8,17,0.509,1,2,0.5,7,15,0.557,11,19,0.29,16,11,27,3,7,3,4,28
Tony Mitchell,SF,4,1,2,22,0,77.25,78.25,82,100,40,140,31.5,131.5,216,5.7,8.5,10,293,147,6280,8.58,660,1587,0.41,330,885,0.365,330,702,0.47,152,187,0.819,91,656,747,289,131,57,199,1802
Tony Mitchell,SF,4,0,2,19,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,145,34,3076,9.73,575,1393,0.388,84,363,0.225,491,1030,0.444,370,572,0.643,106,257,363,437,137,28,375,1604
Tony Snell,SG,1,0,1,21,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,10,0,45,14.6,5,14,0.357,0,0,0,5,14,0.357,4,9,0.444,6,3,9,5,2,2,2,14
Tony Wroten,SG,1,1,1,23,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,27,1,189,10.6,19,40,0.475,9,15,0.6,10,25,0.4,10,15,0.667,5,17,22,6,6,1,3,57
Travis Leslie,SG,7,1,3,23,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,464,155,9714,15,1371,2660,0.516,67,213,0.208,1304,2447,0.531,442,706,0.625,911,1702,2613,484,328,256,481,3251
Trevor Booker,PF,1,0,1,21,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,24,0,119,12,24,61,0.393,4,13,0.308,20,48,0.417,5,7,0.714,4,20,24,3,3,3,6,57
Trey Burke,PG,6,1,1,20,9,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,8.25,8.75,466,316,13381,15.18,1723,3347,0.523,0,9,0,1723,3338,0.525,932,1525,0.601,1591,2436,4027,385,240,364,520,4378
Trey Thompkins,C,1,1,3,22,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,60,32,1114,9.77,146,334,0.451,36,124,0.305,110,210,0.544,42,64,0.704,30,108,138,50,54,20,66,370
Tristan Thompson,PF,3,1,5,20,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,218,13,2652,9.46,368,891,0.409,91,265,0.338,277,626,0.438,77,98,0.774,47,190,237,413,113,15,220,904
Tyler Ennis,PG,1,1,1,21,18,73,74.5,79.25,98,36,134,29,127,182,6.2,8.25,8.75,61,15,1123,13,184,437,0.421,21,79,0.266,163,358,0.455,55,71,0.775,20,75,95,226,48,5,77,444
Tyler Honeycutt,SF,5,1,2,23,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,340,131,6048,14.74,957,1916,0.499,0,6,0,957,1910,0.501,470,611,0.737,513,974,1487,316,88,203,297,2384
Tyler Zeller,C,2,1,1,19,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,97,0,1347,12.5,131,337,0.387,42,126,0.329,89,211,0.421,61,82,0.743,17,97,114,264,78,8,71,365
Tyshawn Taylor,PG,2,0,2,21,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,5,1,89,2.25,11,34,0.4,2,11,0.1,9,23,0.509,3,10,0.3,2,10,12,9,3,0,8,27
Vander Blue,SG,1,1,1,20,0,75.5,77.25,78,100.5,37.5,138,28,128.5,197,4.6,8.5,9.5,33,1,405,6.4,36,115,0.313,3,22,0.136,33,93,0.355,31,37,0.838,11,35,46,61,18,7,40,106
Victor Oladipo,PG,7,1,4,23,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,497,281,11452,10,1434,3532,0.401,529,1570,0.327,905,1962,0.473,307,413,0.724,296,1340,1636,561,378,328,452,3704
Wesley Johnson,SG,1,0,1,21,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,19,0,134,10.8,13,35,0.371,5,15,0.333,8,20,0.4,6,8,0.75,1,11,12,27,6,0,8,37
Will Barton,SG,5,0,3,19,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,185,23,2905,8.2,368,907,0.372,41,126,0.248,327,781,0.383,273,430,0.623,81,270,351,120,100,23,139,1050
Willie Warren,PG,3,1,1,19,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,206,120,5945,13.4,1045,2346,0.444,300,793,0.372,745,1553,0.482,427,520,0.824,72,529,601,666,164,37,433,2817
